,Age,Gender,Total_Bilirubin,Direct_Bilirubin,Alkaline_Phosphotase,Alamine_Aminotransferase,Aspartate_Aminotransferase,Total_Protiens,Albumin,Albumin_and_Globulin_Ratio,Dataset,Indirect_Bilirubin,AST_ALT_Ratio,Globulin,Age_Group,log_Total_Bilirubin,log_Direct_Bilirubin,log_Alkaline_Phosphotase,log_Alamine_Aminotransferase,log_Aspartate_Aminotransferase
Age,1.0,0.05823669339641746,0.01150016599514468,0.007049634624948855,0.0816725109564932,-0.08338337969454492,-0.016753303358010577,-0.19705162391081824,-0.27116971447771854,-0.21565402064732528,0.13809318041844051,0.012919419716418131,0.05922898782600311,0.0023932614456002935,0.947336234577519,0.0705249074152411,0.06563155637556863,0.06935248161199085,-0.07900667431124442,-0.031180232316469884
Gender,0.05823669339641746,1.0,0.09029785209668074,0.10173044132950787,-0.023014283927839982,0.08431660028532074,0.08149694896892812,-0.08589524131837362,-0.09136940703774318,-0.005603786611208332,0.07850064087057357,0.06886401408884531,0.07226584125174262,-0.030540338854319365,0.07002633923607411,0.15850725666948293,0.1600202281807797,0.02545201006038008,0.17000783233625055,0.18498137682406787
Total_Bilirubin,0.01150016599514468,0.09029785209668074,1.0,0.8741156675619418,0.2062392591088266,0.2174706809591324,0.23867773732131525,-0.008588268587064194,-0.2241244386446536,-0.20764635462429168,0.22442971741356627,0.9399946152156536,0.2453665263142847,0.2499871536219253,0.021530290155951405,0.8805103311337701,0.8221974302258852,0.25069822126106817,0.31023228365841216,0.39505249158950606
Direct_Bilirubin,0.007049634624948855,0.10173044132950787,0.8741156675619418,1.0,0.23460936577147,0.2374504330058554,0.2584893567679728,-0.0008750038921916111,-0.23075136689407058,-0.20141241661886977,0.2506663340648872,0.6559423086377433,0.26553330929728186,0.27018654081387705,0.018601890089869975,0.9013832147011336,0.9319429261215001,0.27816713946386673,0.3446563236887164,0.43471327443293867
Alkaline_Phosphotase,0.0816725109564932,-0.023014283927839982,0.2062392591088266,0.23460936577147,1.0,0.12682976177495445,0.16722981735602818,-0.03004849333353499,-0.16831764261664955,-0.23605811983425143,0.18755981377621062,0.1556983583565095,0.014499715440355004,0.14980426982963363,0.10071873234519377,0.2844666205020924,0.28646711083640136,0.9122159450731399,0.2758975612107629,0.265684399248526
Alamine_Aminotransferase,-0.08338337969454492,0.08431660028532074,0.2174706809591324,0.2374504330058554,0.12682976177495445,1.0,0.7918571761352134,-0.03519349452030026,-0.027972795049966293,-0.00653715445630792,0.16191728893425494,0.17115642700972347,-0.017554259670234933,-0.02365177954099966,-0.05513426796187118,0.3035920250201327,0.2951857663968375,0.15601282423220603,0.7534438386447523,0.6461043572969397
Aspartate_Aminotransferase,-0.016753303358010577,0.08149694896892812,0.23867773732131525,0.2584893567679728,0.16722981735602818,0.7918571761352134,1.0,-0.02199962885096592,-0.08518048227673156,-0.07289326537060621,0.1511006753889101,0.18933378113923294,0.23528839350463143,0.06489128710245287,0.004783614844079742,0.3264931633818841,0.31729758710232314,0.17592780973497274,0.6156832428462965,0.6671157981498689
Total_Protiens,-0.19705162391081824,-0.08589524131837362,-0.008588268587064194,-0.0008750038921916111,-0.03004849333353499,-0.03519349452030026,-0.02199962885096592,1.0,0.784731364449281,0.23358849002906826,-0.03779426696554627,-0.012731626576345476,-0.07168132332374365,0.6839341226322272,-0.16535158099470426,-0.045697126112215415,-0.03350657906734096,-0.0010028382717312606,-0.004559826079221934,-0.052379913455326596
Albumin,-0.27116971447771854,-0.09136940703774318,-0.2241244386446536,-0.23075136689407058,-0.16831764261664955,-0.027972795049966293,-0.08518048227673156,0.784731364449281,1.0,0.6841255144566656,-0.1668350803727731,-0.18620215710371846,-0.23316559933184616,0.0845070524789099,-0.24788103446383195,-0.29208156153003734,-0.28160863163840844,-0.17406707065367832,-0.04293881588327656,-0.1743236046265639
Albumin_and_Globulin_Ratio,-0.21565402064732528,-0.005603786611208332,-0.20764635462429168,-0.20141241661886977,-0.23605811983425143,-0.00653715445630792,-0.07289326537060621,0.23358849002906826,0.6841255144566656,1.0,-0.17055333734348094,-0.18120397877510508,-0.1543169850682182,-0.4297049314609589,-0.2029615777034193,-0.2676142630775142,-0.25912380866838,-0.2831226348926166,-0.06689323593356547,-0.14746921385341102
Dataset,0.13809318041844051,0.07850064087057357,0.22442971741356627,0.2506663340648872,0.18755981377621062,0.16191728893425494,0.1511006753889101,-0.03779426696554627,-0.1668350803727731,-0.17055333734348094,1.0,0.17268742647157712,0.09228389867188007,0.13560751469334892,0.13733957781641307,0.30929794672101035,0.31217401530467687,0.23474371143278758,0.2863560142915928,0.30210303867357363
Indirect_Bilirubin,0.012919419716418131,0.06886401408884531,0.9399946152156536,0.6559423086377433,0.1556983583565095,0.17115642700972347,0.18933378113923294,-0.012731626576345476,-0.18620215710371846,-0.18120397877510508,0.17268742647157712,1.0,0.19478025749637637,0.19869213322287138,0.02039154135687511,0.7351523990289088,0.6230670185668902,0.19419122156279717,0.24000294434194097,0.3085546034106011
AST_ALT_Ratio,0.05922898782600311,0.07226584125174262,0.2453665263142847,0.26553330929728186,0.014499715440355004,-0.017554259670234933,0.23528839350463143,-0.07168132332374365,-0.23316559933184616,-0.1543169850682182,0.09228389867188007,0.19478025749637637,1.0,0.1592027533401729,0.0650550795871498,0.29277299748472574,0.29704891817050844,0.009516953030630404,-0.024641445059620622,0.4665157697614279
Globulin,0.0023932614456002935,-0.030540338854319365,0.2499871536219253,0.27018654081387705,0.14980426982963363,-0.02365177954099966,0.06489128710245287,0.6839341226322272,0.0845070524789099,-0.4297049314609589,0.13560751469334892,0.19869213322287138,0.1592027533401729,1.0,0.025942290973519896,0.270317661618667,0.27758809947268664,0.2032639170788289,0.04320857457510791,0.12097418354875296
Age_Group,0.947336234577519,0.07002633923607411,0.021530290155951405,0.018601890089869975,0.10071873234519377,-0.05513426796187118,0.004783614844079742,-0.16535158099470426,-0.24788103446383195,-0.2029615777034193,0.13733957781641307,0.02039154135687511,0.0650550795871498,0.025942290973519896,1.0,0.07662801849924185,0.07330007577628637,0.10541325034682049,-0.06270648197996502,-0.015386265852235124
