,count,mean,std,min,25%,50%,75%,max
Age,570.0,44.849122807017544,16.242182089186286,4.0,33.0,45.0,58.0,90.0
Gender,570.0,0.7543859649122807,0.4308287576657855,0.0,1.0,1.0,1.0,1.0
Total_Bilirubin,570.0,3.3217543859649123,6.267940892566999,0.4,0.8,1.0,2.6,75.0
Direct_Bilirubin,570.0,1.4975438596491228,2.833231296712996,0.1,0.2,0.3,1.3,19.7
Alkaline_Phosphotase,570.0,291.75087719298244,245.29185881514013,63.0,176.0,208.0,298.0,2110.0
Alamine_Aminotransferase,570.0,79.7280701754386,181.47169721700703,10.0,23.0,35.0,60.0,2000.0
Aspartate_Aminotransferase,570.0,109.38070175438597,290.88067111623656,10.0,25.0,41.0,86.75,4929.0
Total_Protiens,570.0,6.496315789473685,1.0883003494169776,2.7,5.8,6.6,7.2,9.6
Albumin,570.0,3.148947368421053,0.7968130373915893,0.9,2.6,3.1,3.8,5.5
Albumin_and_Globulin_Ratio,570.0,0.948017543859649,0.31850998617149995,0.3,0.7,0.95,1.1,2.8
Dataset,570.0,0.712280701754386,0.45309720145667665,0.0,0.0,1.0,1.0,1.0
Indirect_Bilirubin,570.0,1.8242105263157895,4.033394409832351,-7.2,0.6000000000000001,0.7,1.4000000000000001,71.4
AST_ALT_Ratio,570.0,1.392423295383346,0.9518653554760192,0.08947368421052632,0.8081501831501832,1.125,1.6666666666666667,8.7
Globulin,570.0,3.3473684210526318,0.6769894234721167,0.8999999999999999,2.9000000000000004,3.3,3.8,7.199999999999999
Age_Group,570.0,1.4649122807017543,0.9954185434531171,0.0,1.0,1.0,2.0,3.0
log_Total_Bilirubin,570.0,1.054750280887218,0.7423705981490968,0.33647223662121295,0.5877866649021191,0.6931471805599453,1.2809338454620645,4.330733340286331
log_Direct_Bilirubin,570.0,0.6093589937171172,0.6598915998455873,0.09531017980432487,0.18232155679395462,0.26236426446749106,0.832909122935104,3.0301337002713233
log_Alkaline_Phosphotase,570.0,5.499550662109667,0.5300623418502894,4.1588830833596715,5.176149732573829,5.342334251964811,5.700443573390686,7.65491704784832
log_Alamine_Aminotransferase,570.0,3.774517164033914,0.8802641823870799,2.3978952727983707,3.1780538303479458,3.58351893845611,4.110873864173311,7.601402334583733
log_Aspartate_Aminotransferase,570.0,3.973536608032216,0.9818272904264671,2.3978952727983707,3.258096538021482,3.7376696182833684,4.474479640522301,8.503094267036737
